token,A win Y,B win Y,Draw Y,A -1.5 Y,B -1.5 Y,A -2.5 Y,B -2.5 Y,O 1.5 Y,O 2.5 Y,O 3.5 Y,O 4.5 Y,BTTS Y,A win N,B win N,Draw N,A -1.5 N,B -1.5 N,A -2.5 N,B -2.5 N,O 1.5 N,O 2.5 N,O 3.5 N,O 4.5 N,BTTS N,bias
A win Y,0.024615,-0.024019,-0.005194,0.009363,-0.007608,0.000405,0.000853,0.001169,0.000533,-0.000017,-0.001406,-0.005695,-0.026539,0.026423,0.005994,-0.024534,0.024459,-0.021200,0.021632,-0.003214,-0.004166,-0.003592,-0.003672,0.001602,0.433318
B win Y,-0.020160,0.021711,0.000499,-0.007878,0.006316,-0.000512,-0.001359,0.006553,0.005903,0.002674,0.000844,0.007188,0.021225,-0.024495,0.000406,0.017669,-0.024924,0.013605,-0.023082,-0.001922,-0.003912,-0.005839,-0.005982,-0.005979,0.296156
Draw Y,-0.004455,0.002308,0.004695,-0.001484,0.001292,0.000107,0.000506,-0.007722,-0.006436,-0.002658,0.000563,-0.001493,0.005314,-0.001928,-0.006400,0.006865,0.000465,0.007595,0.001450,0.005136,0.008078,0.009431,0.009655,0.004377,0.270527
A -1.5 Y,0.017070,-0.014321,-0.004921,0.007574,-0.003711,0.001233,0.000989,0.006682,0.005666,0.003171,0.000219,-0.000871,-0.017887,0.016335,0.008073,-0.017778,0.013745,-0.016673,0.011124,-0.003764,-0.006552,-0.007381,-0.007914,-0.000641,0.214998
B -1.5 Y,-0.011402,0.014049,0.001136,-0.002815,0.005670,0.001151,0.000249,0.006456,0.006130,0.004008,0.002343,0.006514,0.013082,-0.014564,0.001847,0.010665,-0.015050,0.007651,-0.014582,0.000039,-0.002050,-0.003795,-0.004385,-0.002475,0.117228
A -2.5 Y,0.010360,-0.006835,-0.003606,0.005645,-0.000798,0.001671,0.001081,0.008326,0.007363,0.004472,0.001304,0.001943,-0.010285,0.008518,0.007699,-0.011106,0.006129,-0.011349,0.003996,-0.002974,-0.006206,-0.007621,-0.008357,-0.001264,0.098244
B -2.5 Y,-0.004568,0.006049,0.000718,-0.000711,0.002800,0.000827,0.000365,0.003186,0.003080,0.002202,0.001413,0.003195,0.005519,-0.005977,0.001081,0.004473,-0.006208,0.003101,-0.006160,0.000357,-0.000688,-0.001534,-0.001896,-0.000704,0.039393
O 1.5 Y,0.000635,0.001529,-0.007796,-0.001624,-0.001931,-0.001620,-0.002107,0.011340,0.009137,0.002635,-0.002285,0.002279,-0.002592,-0.003919,0.008455,-0.005691,-0.007491,-0.007407,-0.007916,-0.009460,-0.013700,-0.015770,-0.015698,-0.009345,0.734219
O 2.5 Y,0.003389,0.002799,-0.007788,0.002508,0.001261,0.001136,-0.000246,0.018829,0.016308,0.008154,0.001048,0.007035,-0.003640,-0.003118,0.013704,-0.007822,-0.007943,-0.010908,-0.009916,-0.008930,-0.015893,-0.019560,-0.020529,-0.008727,0.495966
O 3.5 Y,0.002106,0.003381,-0.005439,0.002463,0.002044,0.001502,0.000253,0.015526,0.013640,0.007318,0.001660,0.006555,-0.001777,-0.003194,0.011029,-0.005177,-0.006934,-0.007907,-0.008637,-0.006223,-0.011931,-0.015023,-0.015986,-0.006260,0.276222
O 4.5 Y,0.001288,0.002014,-0.003936,0.001197,0.000899,0.000648,-0.000102,0.009946,0.008641,0.004373,0.000655,0.003897,-0.001335,-0.002183,0.007121,-0.003580,-0.004679,-0.005291,-0.005680,-0.004561,-0.008227,-0.010184,-0.010711,-0.004560,0.132890
BTTS Y,-0.004543,0.004736,-0.006342,-0.004749,-0.001902,-0.002722,-0.002863,0.007078,0.005289,0.000093,-0.003285,0.001002,0.002330,-0.008199,0.004595,-0.000385,-0.010639,-0.001922,-0.009920,-0.008411,-0.011008,-0.012330,-0.011810,-0.009118,0.526341
A win N,-0.024615,0.024019,0.005194,-0.009363,0.007608,-0.000405,-0.000853,-0.001169,-0.000533,0.000017,0.001406,0.005695,0.026539,-0.026423,-0.005994,0.024534,-0.024459,0.021200,-0.021632,0.003214,0.004166,0.003592,0.003672,-0.001602,0.566682
B win N,0.020160,-0.021711,-0.000499,0.007878,-0.006316,0.000512,0.001359,-0.006553,-0.005903,-0.002674,-0.000844,-0.007188,-0.021225,0.024495,-0.000406,-0.017669,0.024924,-0.013605,0.023082,0.001922,0.003912,0.005839,0.005982,0.005979,0.703844
Draw N,0.004455,-0.002308,-0.004695,0.001484,-0.001292,-0.000107,-0.000506,0.007722,0.006436,0.002658,-0.000563,0.001493,-0.005314,0.001928,0.006400,-0.006865,-0.000465,-0.007595,-0.001450,-0.005136,-0.008078,-0.009431,-0.009655,-0.004377,0.729473
A -1.5 N,-0.017070,0.014321,0.004921,-0.007574,0.003711,-0.001233,-0.000989,-0.006682,-0.005666,-0.003171,-0.000219,0.000871,0.017887,-0.016335,-0.008073,0.017778,-0.013745,0.016673,-0.011124,0.003764,0.006552,0.007381,0.007914,0.000641,0.785002
B -1.5 N,0.011402,-0.014049,-0.001136,0.002815,-0.005670,-0.001151,-0.000249,-0.006456,-0.006130,-0.004008,-0.002343,-0.006514,-0.013082,0.014564,-0.001847,-0.010665,0.015050,-0.007651,0.014582,-0.000039,0.002050,0.003795,0.004385,0.002475,0.882772
A -2.5 N,-0.010360,0.006835,0.003606,-0.005645,0.000798,-0.001671,-0.001081,-0.008326,-0.007363,-0.004472,-0.001304,-0.001943,0.010285,-0.008518,-0.007699,0.011106,-0.006129,0.011349,-0.003996,0.002974,0.006206,0.007621,0.008357,0.001264,0.901756
B -2.5 N,0.004568,-0.006049,-0.000718,0.000711,-0.002800,-0.000827,-0.000365,-0.003186,-0.003080,-0.002202,-0.001413,-0.003195,-0.005519,0.005977,-0.001081,-0.004473,0.006208,-0.003101,0.006160,-0.000357,0.000688,0.001534,0.001896,0.000704,0.960607
O 1.5 N,-0.000635,-0.001529,0.007796,0.001624,0.001931,0.001620,0.002107,-0.011340,-0.009137,-0.002635,0.002285,-0.002279,0.002592,0.003919,-0.008455,0.005691,0.007491,0.007407,0.007916,0.009460,0.013700,0.015770,0.015698,0.009345,0.265781
O 2.5 N,-0.003389,-0.002799,0.007788,-0.002508,-0.001261,-0.001136,0.000246,-0.018829,-0.016308,-0.008154,-0.001048,-0.007035,0.003640,0.003118,-0.013704,0.007822,0.007943,0.010908,0.009916,0.008930,0.015893,0.019560,0.020529,0.008727,0.504034
O 3.5 N,-0.002106,-0.003381,0.005439,-0.002463,-0.002044,-0.001502,-0.000253,-0.015526,-0.013640,-0.007318,-0.001660,-0.006555,0.001777,0.003194,-0.011029,0.005177,0.006934,0.007907,0.008637,0.006223,0.011931,0.015023,0.015986,0.006260,0.723778
O 4.5 N,-0.001288,-0.002014,0.003936,-0.001197,-0.000899,-0.000648,0.000102,-0.009946,-0.008641,-0.004373,-0.000655,-0.003897,0.001335,0.002183,-0.007121,0.003580,0.004679,0.005291,0.005680,0.004561,0.008227,0.010184,0.010711,0.004560,0.867110
BTTS N,0.004543,-0.004736,0.006342,0.004749,0.001902,0.002722,0.002863,-0.007078,-0.005289,-0.000093,0.003285,-0.001002,-0.002330,0.008199,-0.004595,0.000385,0.010639,0.001922,0.009920,0.008411,0.011008,0.012330,0.011810,0.009118,0.473659
